-16223.74 -18917.29 -15337.89 -18401.59 -16911.54 -18268.40 -17591.92 -17515.20 -18772.95 -17568.45
-16133.91 -18806.50 -15304.05 -18316.46 -16855.37 -18153.30 -17692.70 -17399.01 -18636.36 -17499.52
-16477.72 -18124.40 -15448.92 -17798.08 -16343.95 -17595.97 -16961.99 -16854.35 -17998.45 -16942.61
-16344.03 -18270.71 -15649.81 -17928.20 -16449.44 -17727.14 -17078.91 -16967.11 -18139.61 -17052.80
-16212.78 -18864.33 -15326.79 -18377.13 -16974.59 -18230.42 -17558.25 -17434.75 -18705.18 -17526.89
-16060.34 -18781.06 -15193.15 -18171.87 -16722.71 -18054.87 -17389.17 -17282.54 -18507.51 -17620.09
-16032.96 -18895.15 -15137.97 -18083.85 -16644.33 -18010.76 -17304.39 -17183.36 -18407.93 -17416.99
-16116.61 -18625.75 -15361.28 -18365.50 -16712.04 -18025.34 -17362.05 -17235.47 -18492.75 -17336.35
-15901.48 -18465.10 -15028.05 -18007.12 -16546.81 -18170.03 -17181.68 -17053.46 -18292.58 -17154.13
-15723.45 -18225.05 -14860.58 -17791.30 -16349.41 -17672.50 -16989.65 -16897.54 -18610.59 -16969.55
