-17662.99 -17131.44 -18352.09 -17075.60 -18511.59 -17951.83 -16746.46 -16369.04 -17514.66 -18056.37 -18227.51
-17550.49 -17295.40 -18532.10 -17352.61 -18728.56 -18119.93 -16925.44 -16488.11 -17646.22 -18207.70 -18383.60
-17417.16 -17202.64 -18469.65 -17084.69 -18736.55 -18070.84 -16821.27 -16435.91 -17587.88 -18147.67 -18316.04
-17293.71 -17573.30 -18900.85 -16982.53 -18485.49 -17931.98 -16985.62 -16641.00 -17975.91 -18654.29 -18724.76
-17315.39 -17575.75 -18908.26 -17004.47 -18514.82 -17952.60 -16996.01 -16648.44 -17975.00 -18566.08 -18810.95
-17282.59 -17565.99 -18870.35 -16969.64 -18467.90 -17920.31 -16969.29 -16626.30 -18053.39 -18540.51 -18706.69
-17255.83 -17071.26 -18335.19 -16943.73 -18473.50 -17987.99 -16685.14 -16312.33 -17458.90 -18016.62 -18175.42
-17226.55 -17671.77 -18830.58 -16918.33 -18401.74 -17866.67 -16926.42 -16584.56 -17913.79 -18480.13 -18641.04
-17419.26 -17406.73 -18668.26 -17147.02 -18650.90 -18057.74 -17158.41 -16566.71 -17760.94 -18330.31 -18508.18
-17164.50 -17126.00 -18412.07 -16847.12 -18342.41 -17805.53 -16732.34 -16468.33 -17515.78 -18081.38 -18246.91
-17213.41 -17499.39 -18962.26 -16886.64 -18395.54 -17853.83 -16894.16 -16556.30 -17877.35 -18466.29 -18628.04
