-14573.00 -16890.12 -13808.83 -16422.61 -15138.96 -16388.40 -15869.29 -15626.65 -16774.80 -15695.48
-14635.50 -16313.60 -14142.21 -16028.76 -14744.13 -15901.02 -15304.09 -15189.31 -16235.51 -15260.17
-14501.71 -16734.66 -13744.56 -16326.71 -15124.67 -16255.02 -15626.44 -15529.56 -16635.14 -15632.98
-14945.57 -16515.89 -13970.30 -16202.91 -14905.55 -16082.90 -15476.12 -15364.67 -16431.87 -15430.80
-14537.52 -16808.67 -13773.19 -16366.15 -15090.87 -16311.36 -15696.59 -15735.93 -16735.47 -15652.20
-14514.49 -16790.12 -13756.17 -16335.65 -15065.39 -16289.50 -15672.43 -15569.18 -17033.48 -15637.31
-14551.19 -16985.61 -13789.08 -16394.22 -15117.49 -16352.27 -15726.09 -15615.63 -16758.84 -15867.24
-13831.22 -15872.96 -13095.95 -15925.01 -14294.53 -15457.38 -14852.14 -14742.72 -15785.49 -14799.53
-14557.86 -16822.57 -13793.83 -16397.16 -15103.87 -16563.88 -15701.35 -15580.85 -16714.83 -15655.66
-14576.12 -17119.34 -13804.96 -16415.88 -15131.12 -16375.07 -15744.55 -15623.98 -16761.55 -15800.00
