-15773.22 -15575.39 -16761.73 -15462.32 -16910.80 -16353.63 -15218.75 -14892.95 -15931.95 -16437.70 -16593.70
-15821.71 -15558.61 -16735.01 -15574.37 -16845.89 -16330.57 -15208.63 -14878.23 -15912.82 -16415.78 -16570.33
-15779.64 -15589.14 -16777.57 -15470.00 -16887.97 -16445.01 -15227.33 -14902.30 -15944.71 -16456.65 -16607.41
-15641.25 -15870.16 -17101.39 -15330.34 -16710.68 -16209.48 -15324.25 -15054.27 -16234.84 -16757.41 -16958.50
-15951.92 -15444.79 -16586.62 -15398.76 -16689.96 -16200.95 -15094.84 -14775.89 -15791.31 -16277.94 -16423.35
-15551.68 -15784.10 -16985.22 -15246.68 -16597.69 -16115.21 -15244.93 -14976.70 -16216.81 -16656.26 -16803.98
-15651.90 -15876.41 -17130.43 -15340.17 -16726.27 -16225.64 -15330.91 -15060.05 -16248.37 -16829.76 -16929.13
-15628.06 -15904.10 -17096.17 -15318.94 -16697.92 -16195.47 -15323.04 -15046.04 -16225.58 -16744.03 -16904.00
-15561.78 -15791.47 -17137.53 -15262.36 -16625.87 -16130.60 -15250.61 -14980.36 -16148.81 -16676.76 -16819.41
-15706.37 -15639.13 -16840.36 -15402.76 -16780.69 -16274.03 -15396.09 -14945.23 -15999.89 -16510.42 -16665.67
-15717.98 -15662.50 -16872.00 -15406.90 -16796.32 -16291.61 -15280.78 -15000.85 -16022.71 -16544.47 -16692.82
